Sleep Score 1 Tag,
Datum,2026-04-13
Schlafdauer,8h 10min
Sleep Score,86
Qualität,Gut

Sleep Score-Faktoren,
Schlafdauer,8h 10min
Stress Ø,13
Dauer des Tiefschlafs,1h 36min
Dauer des leichten Schlafs,4h 54min
REM-Dauer,1h 41min
Wachzeit,21min

Daten für Schlafzeitleiste,
Veränderung des Atemmusters,Minimal
Unruhige Momente,38
Ø Herzfrequenz über Nacht,44 bpm
Ruheherzfrequenz,37 bpm
Veränderung der Body Battery,+70
Durchschnittlicher SpO₂,98%
Niedrigster SpO2,90%
Ø Atemfrequenz,13 brpm
Niedrigste Atemfrequenz,9 brpm
Ø Veränderung der Hauttemperatur,-0,1°
Ø HFV über Nacht,102 ms
7-Tage-Ø HFV,Ausbalanciert
